Time,Load
20240113 06:00,71166.96
20240113 06:30,70416.92
20240113 07:00,61809.94
20240113 07:30,58374.05
20240113 08:00,52810.28
20240113 08:30,49882.43
20240113 09:00,48266.79
20240113 09:30,47150.51
20240113 10:00,45660.66
20240113 10:30,44365.34
20240113 11:00,43800.13
20240113 11:30,42399.09
20240113 12:00,40466.46
20240113 12:30,37636.84
20240113 13:00,34528.86
20240113 13:30,34069.67
20240113 14:00,33535.58
20240113 14:30,35363.94
20240113 15:00,41066.53
20240113 15:30,45513.96
20240113 16:00,49651.15
20240113 16:30,57093.99
20240113 17:00,66812.18
20240113 17:30,73891.21
20240113 18:00,78745.36
20240113 18:30,82507.25
20240113 19:00,84806.86
20240113 19:30,86508.2
20240113 20:00,88602.53
20240113 20:30,90177.27
20240113 21:00,91046.17
20240113 21:30,90232.26
20240113 22:00,88152.89
20240113 22:30,85578.38
20240113 23:00,98444.37
20240113 23:30,100444.44
20240114 00:00,99966.81
20240114 00:30,96877.22
20240114 01:00,105129.04
20240114 01:30,104478.08
20240114 02:00,103758.6
20240114 02:30,101713.98
20240114 03:00,99213.48
20240114 03:30,95220.96
20240114 04:00,91311.19
20240114 04:30,86207.84
20240114 05:00,81131.08
20240114 05:30,76961.79
20240114 06:00,72696.25
20240114 06:30,73341.55
20240114 07:00,65067.35
20240114 07:30,61604.02
20240114 08:00,58927.43
20240114 08:30,57486.86
20240114 09:00,57221.87
20240114 09:30,56756.62
20240114 10:00,55094.45
20240114 10:30,53407.21
20240114 11:00,51303.33
20240114 11:30,49777.47
20240114 12:00,47475.9
20240114 12:30,43400.86
20240114 13:00,40259.77
20240114 13:30,36378.47
20240114 14:00,31938.26
20240114 14:30,29371.99
20240114 15:00,28456.49
20240114 15:30,31551.65
20240114 16:00,39341.08
20240114 16:30,49241.52
20240114 17:00,58588.11
20240114 17:30,65092.91
20240114 18:00,69989.8
20240114 18:30,72873.57
20240114 19:00,74979.94
20240114 19:30,76830.48
20240114 20:00,78748.79
20240114 20:30,80299.27
20240114 21:00,81582.34
20240114 21:30,80926.5
20240114 22:00,78812
20240114 22:30,76058.84
20240114 23:00,87791.42
20240114 23:30,89023.21
20240115 00:00,88455.83
20240115 00:30,85690.26
20240115 01:00,95301.12
20240115 01:30,96267.76
20240115 02:00,97038.22
20240115 02:30,96371.81
20240115 03:00,95269.09
20240115 03:30,93007.68
20240115 04:00,91003.25
20240115 04:30,88314.08
20240115 05:00,85857.33
20240115 05:30,84668.43
20240115 06:00,83388.57
20240115 06:30,85318.06
20240115 07:00,71609.67
20240115 07:30,64220.16
20240115 08:00,57966.99
20240115 08:30,50358.98
20240115 09:00,44378.06
20240115 09:30,41929.19
20240115 10:00,40406.74
20240115 10:30,39322.92
20240115 11:00,37118.9
20240115 11:30,35686.83
20240115 12:00,34314.03
20240115 12:30,31347.74
20240115 13:00,28441.07
20240115 13:30,25595.36
20240115 14:00,23271.17
20240115 14:30,21785.03
20240115 15:00,22155.84
20240115 15:30,26238.57
20240115 16:00,35355.05
20240115 16:30,45814.89
20240115 17:00,55296.73
20240115 17:30,62153.92
20240115 18:00,68393.3
20240115 18:30,73407.04
20240115 19:00,77114.79
20240115 19:30,80069.45
20240115 20:00,83148.43
20240115 20:30,85767.8
20240115 21:00,87159.67
20240115 21:30,86676.61
20240115 22:00,85166.01
20240115 22:30,82257.01
20240115 23:00,93952.97
20240115 23:30,95052.23
20240116 00:00,94169.48
20240116 00:30,91230.52
20240116 01:00,100619.84
20240116 01:30,101200.37
20240116 02:00,101218.01
20240116 02:30,99687.76
20240116 03:00,97842.96
20240116 03:30,94672.14
20240116 04:00,91609.98
20240116 04:30,87693.7
20240116 05:00,85132.22
20240116 05:30,84672.01
20240116 06:00,85747.77
20240116 06:30,89914.15
20240116 07:00,78238.42
20240116 07:30,66289.79
20240116 08:00,55653.75
20240116 08:30,50078.48
20240116 09:00,47931.28
20240116 09:30,46217.1
20240116 10:00,44211.77
20240116 10:30,41998.87
20240116 11:00,39930.59
20240116 11:30,38716.26
20240116 12:00,36765.52
20240116 12:30,33399.14
20240116 13:00,32942.28
20240116 13:30,30758.66
20240116 14:00,27889.02
20240116 14:30,26712.65
20240116 15:00,27434.26
20240116 15:30,32138.71
20240116 16:00,41316.59
20240116 16:30,52457.54
20240116 17:00,62638.21
20240116 17:30,69827.53
20240116 18:00,76248.3
20240116 18:30,81158.97
20240116 19:00,84860.81
20240116 19:30,87713.9
20240116 20:00,90322
20240116 20:30,92800.58
20240116 21:00,94001.51
20240116 21:30,92982.42
20240116 22:00,90896.87
20240116 22:30,87677.69
20240116 23:00,99107.98
20240116 23:30,100025.58
20240117 00:00,98880.2
20240117 00:30,95785.62
20240117 01:00,105000.76
20240117 01:30,105076.62
20240117 02:00,104568.82
20240117 02:30,102830.58
20240117 03:00,100834.61
20240117 03:30,97558.97
20240117 04:00,94621.97
20240117 04:30,91403.06
20240117 05:00,89314.58
20240117 05:30,89036.56
20240117 06:00,89554.01
20240117 06:30,93280.63
20240117 07:00,81210.98
20240117 07:30,69122.84
20240117 08:00,57595.86
20240117 08:30,51051.56
20240117 09:00,48337.64
20240117 09:30,46119.11
20240117 10:00,44074.48
20240117 10:30,42111.96
20240117 11:00,40047.48
20240117 11:30,38410.07
20240117 12:00,36333.65
20240117 12:30,32982.68
20240117 13:00,30050.76
20240117 13:30,27555.15
20240117 14:00,24444.07
20240117 14:30,22847.54
20240117 15:00,23260.15
20240117 15:30,26618.33
20240117 16:00,34096.38
20240117 16:30,43237.74
20240117 17:00,52306.33
20240117 17:30,58866.79
20240117 18:00,64534.37
20240117 18:30,69348.35
20240117 19:00,72842.06
20240117 19:30,75847.04
20240117 20:00,78793.84
20240117 20:30,81096.37
20240117 21:00,82483.58
20240117 21:30,82139.22
20240117 22:00,80785.37
20240117 22:30,77707.05
20240117 23:00,88324.63
20240117 23:30,88628.9
20240118 00:00,87554.89
20240118 00:30,84334.35
20240118 01:00,92823.29
20240118 01:30,93214.46
20240118 02:00,94009.62
20240118 02:30,94053.07
20240118 03:00,93555.94
20240118 03:30,91520.66
20240118 04:00,89732.69
20240118 04:30,87165.6
20240118 05:00,84798.68
20240118 05:30,83362.61
20240118 06:00,82186.1
20240118 06:30,84006.81
20240118 07:00,70766.38
20240118 07:30,59994.08
20240118 08:00,50108.89
20240118 08:30,45472.24
20240118 09:00,43813.14
20240118 09:30,41659.62
20240118 10:00,39802.58
20240118 10:30,37296.69
20240118 11:00,35464.83
20240118 11:30,32583.17
20240118 12:00,32106.95
20240118 12:30,29927.01
20240118 13:00,28815.65
20240118 13:30,26964.81
20240118 14:00,26715.79
20240118 14:30,26448.19
20240118 15:00,25405.7
20240118 15:30,28661.3
20240118 16:00,35694.9
20240118 16:30,42347.38
20240118 17:00,50182.84
20240118 17:30,55663.22
20240118 18:00,60730.04
20240118 18:30,64563.75
20240118 19:00,67536.89
20240118 19:30,69743.28
20240118 20:00,71736.59
20240118 20:30,73425.02
20240118 21:00,74564.54
20240118 21:30,73808.29
20240118 22:00,72186.83
20240118 22:30,69568.47
20240118 23:00,80090.19
20240118 23:30,80031.11
20240119 00:00,77789.81
20240119 00:30,73894.55
20240119 01:00,81864.29
20240119 01:30,82398.33
20240119 02:00,82762.97
20240119 02:30,82925.07
20240119 03:00,83295.79
20240119 03:30,82455.19
20240119 04:00,81824.68
20240119 04:30,80726.46
20240119 05:00,78641.12
20240119 05:30,76369.07
20240119 06:00,73208.82
20240119 06:30,72234.67
20240119 07:00,61691.66
20240119 07:30,55126.77
20240119 08:00,46464.12
20240119 08:30,41917.9
20240119 09:00,38087.64
20240119 09:30,37298.79
20240119 10:00,36339.82
20240119 10:30,35293.56
20240119 11:00,32591.13
20240119 11:30,33136.3
20240119 12:00,32802.04
20240119 12:30,29531.73
20240119 13:00,26509.34
20240119 13:30,24061.63
20240119 14:00,21539.19
20240119 14:30,20060.71
20240119 15:00,19392.42
20240119 15:30,21562.45
20240119 16:00,28404.83
20240119 16:30,36114.03
20240119 17:00,43453.05
20240119 17:30,48329.52
20240119 18:00,52854.91
20240119 18:30,56433.09
20240119 19:00,59041.84
20240119 19:30,60830.26
20240119 20:00,63017.72
20240119 20:30,64789.3
20240119 21:00,65831.55
20240119 21:30,65870.59
20240119 22:00,65227.77
20240119 22:30,64114.96
20240119 23:00,76461.59
20240119 23:30,77309.19
20240120 00:00,75359.66
20240120 00:30,71272.25
20240120 01:00,79486.18
20240120 01:30,80581.78
20240120 02:00,81294.84
20240120 02:30,81489.92
20240120 03:00,81822.01
20240120 03:30,81084.89
20240120 04:00,80216.34
20240120 04:30,78356.6
20240120 05:00,74402.44
20240120 05:30,69726.01
20240120 06:00,63495.78
20240120 06:30,60835.1
20240120 07:00,53575.78
20240120 07:30,55411.78
20240120 08:00,55876.23
20240120 08:30,55387.23
20240120 09:00,55605.28
20240120 09:30,54462.18
20240120 10:00,51386.99
20240120 10:30,50678.26
20240120 11:00,50989.39
20240120 11:30,52195.73
20240120 12:00,54366.65
20240120 12:30,54950.26
20240120 13:00,54225.11
20240120 13:30,54903.94
20240120 14:00,55513.28
20240120 14:30,54190.47
20240120 15:00,53809.64
20240120 15:30,55175.89
20240120 16:00,60496.02
20240120 16:30,65847.76
20240120 17:00,72963.59
20240120 17:30,77541.86
20240120 18:00,80852.63
20240120 18:30,82583.2
20240120 19:00,82993.24
20240120 19:30,82872.89
20240120 20:00,83160.9
20240120 20:30,83979.58
20240120 21:00,84252.24
20240120 21:30,82938.28
20240120 22:00,80739.93
20240120 22:30,77925.5
20240120 23:00,89037.87
20240120 23:30,90041.92
20240121 00:00,89327.49
20240121 00:30,85629.04
20240121 01:00,93763.59
20240121 01:30,93070.57
20240121 02:00,92450.05
20240121 02:30,90860.23
20240121 03:00,89385.27
20240121 03:30,86584.94
20240121 04:00,83900.92
20240121 04:30,79962.57
20240121 05:00,74278.59
20240121 05:30,68291.05
20240121 06:00,61228.89
20240121 06:30,58807.94
20240121 07:00,52797.08
20240121 07:30,56229.57
20240121 08:00,59668.52
20240121 08:30,61650.05
20240121 09:00,63267.72
20240121 09:30,62625.75
20240121 10:00,59542.84
20240121 10:30,59164.61
20240121 11:00,58103.44
20240121 11:30,57412.12
20240121 12:00,56999.78
20240121 12:30,54630.51
20240121 13:00,53908.28
20240121 13:30,52241.54
20240121 14:00,48498.68
20240121 14:30,47119.47
20240121 15:00,44422.08
20240121 15:30,42594.01
20240121 16:00,44375.69
20240121 16:30,53414.74
20240121 17:00,62894.92
20240121 17:30,68788.13
20240121 18:00,72714.85
20240121 18:30,74412.26
20240121 19:00,74777.61
20240121 19:30,74654.76
20240121 20:00,74807.66
20240121 20:30,75021.33
20240121 21:00,74975.23
20240121 21:30,73056.25
20240121 22:00,70631.95
20240121 22:30,67453.84
20240121 23:00,77642.34
20240121 23:30,77944.33
20240122 00:00,76034.61
20240122 00:30,72005.56
20240122 01:00,80538.46
20240122 01:30,82008.16
20240122 02:00,83033.25
20240122 02:30,83387.92
20240122 03:00,83710.69
20240122 03:30,83199.99
20240122 04:00,82808.81
20240122 04:30,81793.67
20240122 05:00,79788.13
20240122 05:30,77601.27
20240122 06:00,74071.03
20240122 06:30,72322.73
20240122 07:00,57986.63
20240122 07:30,48220.08
20240122 08:00,40945.97
20240122 08:30,38844.89
20240122 09:00,38442.34
20240122 09:30,38587.39
20240122 10:00,37455.78
20240122 10:30,36449.58
20240122 11:00,32750.08
20240122 11:30,33007.08
20240122 12:00,34252.21
20240122 12:30,32710.24
20240122 13:00,31720.68
20240122 13:30,30475.74
20240122 14:00,29165.59
20240122 14:30,28873.28
20240122 15:00,29740.01
20240122 15:30,32690.74
20240122 16:00,36669.11
20240122 16:30,42280.63
20240122 17:00,48825.59
20240122 17:30,53584.72
20240122 18:00,58010.46
20240122 18:30,61549.18
20240122 19:00,63667.05
20240122 19:30,64766.51
20240122 20:00,65859.46
20240122 20:30,66878.21
20240122 21:00,67607.77
20240122 21:30,66589.32
20240122 22:00,65257.49
20240122 22:30,62868.29
20240122 23:00,73632.77
20240122 23:30,73340.27
20240123 00:00,71197.76
20240123 00:30,67135.47
20240123 01:00,75845.1
20240123 01:30,77415.61
20240123 02:00,78521.57
20240123 02:30,79703.06
20240123 03:00,80818.85
20240123 03:30,80758.14
20240123 04:00,80898.21
20240123 04:30,79964.07
20240123 05:00,78085.24
20240123 05:30,75901.59
20240123 06:00,72512.22
20240123 06:30,71161.73
20240123 07:00,58358.31
20240123 07:30,50122.25
20240123 08:00,43160.77
20240123 08:30,41031.93
20240123 09:00,38001.2
20240123 09:30,37914.27
