Time,Load
20240114 12:30,122604.94
20240114 13:00,118590
20240114 13:30,112500.75
20240114 14:00,101975.59
20240114 14:30,84877.66
20240114 15:00,64920.26
20240114 15:30,50095.98
20240114 16:00,50172.06
20240114 16:30,57997.77
20240114 17:00,69244.07
20240114 17:30,77624
20240114 18:00,83118.25
20240114 18:30,86115.69
20240114 19:00,87777.98
20240114 19:30,89040.6
20240114 20:00,89966.3
20240114 20:30,90302.99
20240114 21:00,89279.47
20240114 21:30,85996.58
20240114 22:00,81934.43
20240114 22:30,77192.2
20240114 23:00,85930.29
20240114 23:30,85370.05
20240115 00:00,83682.89
20240115 00:30,81412.31
20240115 01:00,95332.78
20240115 01:30,100288.15
20240115 02:00,103909.02
20240115 02:30,106475.22
20240115 03:00,108524.65
20240115 03:30,108623.52
20240115 04:00,108534.05
20240115 04:30,106676.97
20240115 05:00,103222.48
20240115 05:30,99474.03
20240115 06:00,94450.87
20240115 06:30,93311.39
20240115 07:00,76673.73
20240115 07:30,68441.78
20240115 08:00,78995.57
20240115 08:30,96186.43
20240115 09:00,100007.37
20240115 09:30,109251.35
20240115 10:00,111150.73
20240115 10:30,113329.1
20240115 11:00,111931.98
20240115 11:30,111186.94
20240115 12:00,110638.76
20240115 12:30,107932.8
20240115 13:00,105160.82
20240115 13:30,99811.91
20240115 14:00,89994.14
20240115 14:30,73796.52
20240115 15:00,54642.37
20240115 15:30,41867.32
20240115 16:00,42760.61
20240115 16:30,50666.77
20240115 17:00,61388.25
20240115 17:30,70045.55
20240115 18:00,77744.96
20240115 18:30,83653.41
20240115 19:00,88324
20240115 19:30,91667.98
20240115 20:00,94213.81
20240115 20:30,96239.36
20240115 21:00,96400
20240115 21:30,94551.82
20240115 22:00,91280.28
20240115 22:30,87255.78
20240115 23:00,98715.01
20240115 23:30,100595.28
20240116 00:00,100845.37
20240116 00:30,99565.97
20240116 01:00,114528.51
20240116 01:30,118995.83
20240116 02:00,121822
20240116 02:30,122656.5
20240116 03:00,122050.92
20240116 03:30,119024
20240116 04:00,115145.09
20240116 04:30,109639.44
20240116 05:00,105798.07
20240116 05:30,104497.74
20240116 06:00,104249.71
20240116 06:30,106798.97
20240116 07:00,89571.89
20240116 07:30,81539.94
20240116 08:00,88616.33
20240116 08:30,105137.35
20240116 09:00,119134.48
20240116 09:30,124994.57
20240116 10:00,123805.75
20240116 10:30,112849.34
20240116 11:00,109299.56
20240116 11:30,108976.82
20240116 12:00,104094.13
20240116 12:30,103523.32
20240116 13:00,104660.1
20240116 13:30,97372.12
20240116 14:00,94997.5
20240116 14:30,75128.89
20240116 15:00,65041.99
20240116 15:30,52671.2
20240116 16:00,53312.88
20240116 16:30,63175.73
20240116 17:00,76225
20240116 17:30,86063.71
20240116 18:00,94666.76
20240116 18:30,101310.71
20240116 19:00,106061.22
20240116 19:30,109030.35
20240116 20:00,111731.37
20240116 20:30,113083.13
20240116 21:00,112449.98
20240116 21:30,109488.76
20240116 22:00,104878.95
20240116 22:30,99570.12
20240116 23:00,110751.74
20240116 23:30,111910.03
20240117 00:00,110540.67
20240117 00:30,108257.92
20240117 01:00,122239.56
20240117 01:30,125557.02
20240117 02:00,127189.34
20240117 02:30,126807.73
20240117 03:00,125505.58
20240117 03:30,121935.79
20240117 04:00,117961.59
20240117 04:30,113161.08
20240117 05:00,110093.02
20240117 05:30,109460.43
20240117 06:00,108659.61
20240117 06:30,111182.26
20240117 07:00,95068.28
20240117 07:30,87156.42
20240117 08:00,91054.84
20240117 08:30,104874.7
20240117 09:00,117188.76
20240117 09:30,122454.12
20240117 10:00,122497.1
20240117 10:30,120023.54
20240117 11:00,117653.05
20240117 11:30,115806.38
20240117 12:00,114397.02
20240117 12:30,109137.65
20240117 13:00,104765.68
20240117 13:30,98551.26
20240117 14:00,88192.96
20240117 14:30,74880.42
20240117 15:00,57536.47
20240117 15:30,43506.95
20240117 16:00,42117.48
20240117 16:30,48796.58
20240117 17:00,59485.93
20240117 17:30,68287.34
20240117 18:00,75863.81
20240117 18:30,81890.08
20240117 19:00,86318.46
20240117 19:30,89852.15
20240117 20:00,92785.9
20240117 20:30,94760.64
20240117 21:00,94607.2
20240117 21:30,91867.86
20240117 22:00,88065.72
20240117 22:30,83355.47
20240117 23:00,93004.25
20240117 23:30,92886.14
20240118 00:00,91547.6
20240118 00:30,89748.08
20240118 01:00,103340.93
20240118 01:30,107446.08
20240118 02:00,110405.4
20240118 02:30,112816.25
20240118 03:00,115157.98
20240118 03:30,114894.1
20240118 04:00,114244.19
20240118 04:30,111826.51
20240118 05:00,108475.2
20240118 05:30,105682.86
20240118 06:00,101871.86
20240118 06:30,101350.8
20240118 07:00,84079.54
20240118 07:30,76079.63
20240118 08:00,79228.33
20240118 08:30,85647.2
20240118 09:00,99245.46
20240118 09:30,97617.06
20240118 10:00,78278.27
20240118 10:30,104368.76
20240118 11:00,107255.09
20240118 11:30,92941.04
20240118 12:00,121068.77
20240118 12:30,112145.67
20240118 13:00,92139.05
20240118 13:30,80631.64
20240118 14:00,64742.47
20240118 14:30,58407.62
20240118 15:00,52409.35
20240118 15:30,52578.32
20240118 16:00,48161.71
20240118 16:30,49299.02
20240118 17:00,58074.22
20240118 17:30,65154.17
20240118 18:00,71154.16
20240118 18:30,75680.1
20240118 19:00,78810.4
20240118 19:30,80929.39
20240118 20:00,82710.19
20240118 20:30,83438.59
20240118 21:00,82996.24
20240118 21:30,81063.08
20240118 22:00,78042.42
20240118 22:30,74119.79
20240118 23:00,83165.03
20240118 23:30,82799.3
20240119 00:00,80691.87
20240119 00:30,77783.09
20240119 01:00,90758.31
20240119 01:30,95080.13
20240119 02:00,98210.76
20240119 02:30,101122.38
20240119 03:00,103465.21
20240119 03:30,103838.33
20240119 04:00,103996.38
20240119 04:30,102902.43
20240119 05:00,99914.27
20240119 05:30,95968.14
20240119 06:00,89689.55
20240119 06:30,86160.33
20240119 07:00,71684.1
20240119 07:30,67630.84
20240119 08:00,67318
20240119 08:30,67294.02
20240119 09:00,66297.76
20240119 09:30,75094.92
20240119 10:00,84760.82
20240119 10:30,87982.88
20240119 11:00,103514.96
20240119 11:30,97411.74
20240119 12:00,93209.57
20240119 12:30,90974.84
20240119 13:00,84675.02
20240119 13:30,79183.45
20240119 14:00,77986.71
20240119 14:30,64249.74
20240119 15:00,47826.54
20240119 15:30,42282.96
20240119 16:00,40937.6
20240119 16:30,44173.26
20240119 17:00,52719.67
20240119 17:30,59559.67
20240119 18:00,65361.82
20240119 18:30,69665.01
