Time,Load
20240115 11:30,36453.36
20240115 12:00,33927.09
20240115 12:30,29449.65
20240115 13:00,27206.66
20240115 13:30,26506.93
20240115 14:00,24843.63
20240115 14:30,23512.29
20240115 15:00,22925.8
20240115 15:30,26316.44
20240115 16:00,36009.28
20240115 16:30,47902.13
20240115 17:00,59427.38
20240115 17:30,67936.88
20240115 18:00,74950.71
20240115 18:30,80296.29
20240115 19:00,83897.93
20240115 19:30,86520.75
20240115 20:00,89150.72
20240115 20:30,91072.3
20240115 21:00,91735.33
20240115 21:30,90298.95
20240115 22:00,87564.25
20240115 22:30,83981.95
20240115 23:00,93102.74
20240115 23:30,94175.26
20240116 00:00,93811.39
20240116 00:30,92085.77
20240116 01:00,104130.73
20240116 01:30,108917.8
20240116 02:00,111962.29
20240116 02:30,112854.04
20240116 03:00,112200.27
20240116 03:30,109139.15
20240116 04:00,105691.84
20240116 04:30,100758.99
20240116 05:00,97416.38
20240116 05:30,95966.01
20240116 06:00,96217.63
20240116 06:30,99491.02
20240116 07:00,85023.88
20240116 07:30,69248.81
20240116 08:00,58259.63
20240116 08:30,53337.37
20240116 09:00,51490.4
20240116 09:30,48426.68
20240116 10:00,46083.93
20240116 10:30,43675.61
20240116 11:00,41869.74
20240116 11:30,40275.62
20240116 12:00,38891.09
20240116 12:30,36254.62
20240116 13:00,33507.56
20240116 13:30,31053.11
20240116 14:00,28317.4
20240116 14:30,26927.09
20240116 15:00,26819.25
20240116 15:30,30086.64
20240116 16:00,40502.89
20240116 16:30,54066.86
20240116 17:00,66365.49
20240116 17:30,75160.72
20240116 18:00,82747.08
20240116 18:30,88385.08
20240116 19:00,92612.09
20240116 19:30,95832.43
20240116 20:00,99012.73
20240116 20:30,101560.75
20240116 21:00,102402.67
20240116 21:30,100930.87
20240116 22:00,97993.26
20240116 22:30,93788.07
20240116 23:00,104028.75
20240116 23:30,105538.56
20240117 00:00,105213.53
20240117 00:30,103424.29
20240117 01:00,115405.97
20240117 01:30,118340.9
20240117 02:00,119731.97
20240117 02:30,119215.57
20240117 03:00,117708.68
20240117 03:30,113704.24
20240117 04:00,109471.93
20240117 04:30,104265.82
20240117 05:00,101162.95
20240117 05:30,100458.81
20240117 06:00,101309.81
20240117 06:30,105147.57
20240117 07:00,90605.36
20240117 07:30,74237.16
20240117 08:00,61621.07
20240117 08:30,56117.07
20240117 09:00,52783.18
20240117 09:30,49821.47
20240117 10:00,46620.5
20240117 10:30,44154.46
20240117 11:00,41603.83
20240117 11:30,40117.16
20240117 12:00,38382.37
20240117 12:30,35133.4
20240117 13:00,32497.63
20240117 13:30,30067.92
20240117 14:00,27762.83
20240117 14:30,25516.36
20240117 15:00,24794.9
20240117 15:30,27439.68
20240117 16:00,36011.15
20240117 16:30,47957.59
20240117 17:00,59222.09
20240117 17:30,67366.15
20240117 18:00,74071.32
20240117 18:30,78989.24
20240117 19:00,82628.29
20240117 19:30,85510.56
20240117 20:00,88035.03
20240117 20:30,89742.87
20240117 21:00,90220.07
20240117 21:30,88426.12
20240117 22:00,85326.57
20240117 22:30,80864.36
20240117 23:00,88224.3
20240117 23:30,87896.15
20240118 00:00,86649.12
20240118 00:30,84990.88
20240118 01:00,96823.85
20240118 01:30,101619.66
20240118 02:00,104856.56
20240118 02:30,107089.16
20240118 03:00,108495.93
20240118 03:30,107885.15
20240118 04:00,106731.22
20240118 04:30,103971.74
20240118 05:00,101183.26
20240118 05:30,98377.17
20240118 06:00,95627.49
20240118 06:30,95990.86
20240118 07:00,80716.56
20240118 07:30,66429.62
20240118 08:00,53640.01
20240118 08:30,49454.3
20240118 09:00,47750.32
20240118 09:30,43151.61
20240118 10:00,43387.48
20240118 10:30,38730.9
20240118 11:00,38287.4
20240118 11:30,41612.44
20240118 12:00,41337.22
20240118 12:30,38437.91
20240118 13:00,34177.36
20240118 13:30,38363.48
20240118 14:00,32622.75
20240118 14:30,29250.2
20240118 15:00,28127.05
20240118 15:30,30373.02
20240118 16:00,37537.81
20240118 16:30,44976.26
20240118 17:00,53855.51
20240118 17:30,60551.15
20240118 18:00,66201.58
20240118 18:30,70001.09
20240118 19:00,72710.11
20240118 19:30,74416.51
20240118 20:00,75896.88
20240118 20:30,76959.4
20240118 21:00,77190.05
20240118 21:30,75770.98
20240118 22:00,73468.23
20240118 22:30,70386.44
20240118 23:00,78485.82
20240118 23:30,77917.09
20240119 00:00,75253.78
20240119 00:30,71716.62
20240119 01:00,82017.53
20240119 01:30,85788.5
20240119 02:00,88424.53
20240119 02:30,91389.48
20240119 03:00,93876.64
20240119 03:30,94161.83
20240119 04:00,94285.84
20240119 04:30,92944.28
20240119 05:00,90072.61
20240119 05:30,86223.24
20240119 06:00,80614.46
20240119 06:30,77556.71
20240119 07:00,66205.33
20240119 07:30,59177.9
20240119 08:00,49725.27
20240119 08:30,44349.32
20240119 09:00,41966.6
20240119 09:30,40627.98
20240119 10:00,37982.84
20240119 10:30,38746.3
20240119 11:00,34626.29
20240119 11:30,34952.5
20240119 12:00,32722.11
20240119 12:30,32821.69
20240119 13:00,27578.6
20240119 13:30,28170.95
20240119 14:00,26869.25
20240119 14:30,21869.65
20240119 15:00,24307.64
20240119 15:30,23754.62
20240119 16:00,29768.1
20240119 16:30,39354.68
20240119 17:00,48622.64
20240119 17:30,54829.35
20240119 18:00,60211.6
20240119 18:30,63925.73
20240119 19:00,66826.96
20240119 19:30,68478.23
20240119 20:00,70331.2
20240119 20:30,71695.83
20240119 21:00,72176.33
20240119 21:30,71670.65
20240119 22:00,70049.93
20240119 22:30,68009.04
20240119 23:00,77354.61
20240119 23:30,77608.37
20240120 00:00,75321.65
20240120 00:30,72062.16
20240120 01:00,82284.76
20240120 01:30,86000.91
20240120 02:00,88816.93
20240120 02:30,91765.64
20240120 03:00,94312.12
20240120 03:30,94775.99
